edition	audit	build	manifest_sha256_or_error
CHN/zh_Hans	PASS	NOT_RUN	65f1782cde5c9c5a85cd1a6c59e5f0eae5cb2b206214d19d4074e6a40352ec99
CHN/zh_Hant	PASS	NOT_RUN	58b837538edeb87696693e1a13656efc1e3de2d5b0432c6271f29aaddfe480c8
IND/hi_Deva	PASS	NOT_RUN	40c6bfc5754d0bcfc20cccad1054971d8242c601127ad1e58b8a504f3ff6b061
IND/ta_Taml	PASS	NOT_RUN	2dfec57497ac3a1cde0f2d349389d74f123a09eb2d7c44c6849821b40a83a1d3
JPN/ja_Hira	PASS	NOT_RUN	d4b49dcbbf7e8ba33f7cdee2b7051544541f282cda760155b4582a1b78b44957
JPN/ja_Kana	PASS	NOT_RUN	41b62e5af26f8c57d92c2008b4f3158a42eb68ff9e9f4ae8b42da5630a79090d
KOR	PASS	NOT_RUN	dcdcc1027d24883dd7f2fe4606e5ab1d7a2a68cc310c0f5c2fef482dbc3e8ad4
USA	PASS	NOT_RUN	7a2c2a872de12abdd5ed6c249fb2c955630e539fca726d2b341d6bcaef72e0b1
