english	localized	language
ifchr	ifchr	st
ifdir	ifdir	st
ifmt	ifmt	st
ifreg	ifreg	st
ifsock	ifsock	st
in	in	st
increment	increment	st
index	index	st
inet	inet	st
info	info	st
init	init	st
initial	initial	st
initialization	initialization	st
initialize	initialize	st
ino	ino	st
inode	inode	st
input	input	st
install	install	st
int	int	st
interconnect	interconnect	st
interface	interface	st
internet	internet	st
internetprotocol	internetprotocol	st
interrupt	interrupt	st
interrupts	interrupts	st
invalid	invalid	st
io	io	st
iomap	iomap	st
ip	ip	st
ipci	ipci	st
ipmessage	ipmessage	st
ipv	ipv	st
ip콘솔	ip콘솔	st
iret	iret	st
is	is	st
ist	ist	st
j	j	st
jmp	jmp	st
jump	jump	st
k	k	st
kb	kb	st
kcs	kcs	st
kds	kds	st
kernel	kernel	st
key	key	st
keyboard	keyboard	st
kgs	kgs	st
kind	kind	st
k핵심	k핵심	st
l	l	st
label	label	st
last	last	st
lba	lba	st
ldt	ldt	st
left	left	st
len	len	st
length	length	st
lengths	lengths	st
level	level	st
lib	lib	st
lidt	lidt	st
lidtaddr	lidtaddr	st
limit	limit	st
line	line	st
link	link	st
linked	linked	st
linker	linker	st
list	list	st
listen	listen	st
listening	listening	st
live	live	st
load	load	st
loader	loader	st
local	local	st
log	log	st
logical	logical	st
loop	loop	st
low	low	st
lseek	lseek	st
lstat	lstat	st
m	m	st
mac	mac	st
machine	machine	st
magicnumber	magicnumber	st
main	sehlooho	st
make	make	st
malloc	malloc	st
manager	manager	st
map	map	st
mask	mask	st
master	master	st
matches	matches	st
max	max	st
maximum	maximum	st
mb	mb	st
mbr	mbr	st
media	media	st
mem	mem	st
memory	memory	st
memorymananger	memorymananger	st
memorytest	memorytest	st
memsz	memsz	st
mesg	mesg	st
message	message	st
mics	mics	st
mid	mid	st
minimum	minimum	st
mode	mode	st
model	model	st
mouse	mouse	st
mousemove	mousemove	st
move	move	st
msdospart	msdospart	st
msg	msg	st
mtime	mtime	st
multi	multi	st
multiboot	multiboot	st
multitasking	multitasking	st
my	my	st
myfunction	myfunction	st
m긴급로그	m긴급로그	st
m긴급로그문자열	m긴급로그문자열	st
m직렬로그초기화	m직렬로그초기화	st
m출력	m출력	st
m테스트	m테스트	st
n	n	st
name	name	st
namesz	namesz	st
net	net	st
network	network	st
new	new	st
next	next	st
nibble	nibble	st
nlink	nlink	st
nmi	nmi	st
node	node	st
nodename	nodename	st
noexec	noexec	st
none	none	st
normal	normal	st
norw	norw	st
not	not	st
note	note	st
nsec	nsec	st
num	num	st
number	number	st
o	o	st
of	of	st
offset	offset	st
ok	ok	st
old	old	st
on	on	st
only	only	st
opcode	opcode	st
open	open	st
oper	oper	st
operation	operation	st
options	options	st
order	order	st
org	org	st
other	other	st
out	out	st
output	output	st
overflow	overflow	st
p	p	st
packet	packet	st
packets	packets	st
paddr	paddr	st
page	page	st
pages	pages	st
paging	paging	st
param	param	st
parameter	parameter	st
params	params	st
parent	parent	st
parse	parse	st
part	part	st
partition	partition	st
partitions	partitions	st
path	path	st
pause	pause	st
payload	payload	st
pci	pci	st
pde	pde	st
pdelen	pdelen	st
peer	peer	st
pending	pending	st
per	per	st
peripheral	peripheral	st
phentsize	phentsize	st
phnum	phnum	st
phoff	phoff	st
phy	phy	st
phyaddr	phyaddr	st
phymem	phymem	st
phys	phys	st
physical	physical	st
pic	pic	st
pid	pid	st
pit	pit	st
pixel	pixel	st
point	point	st
pointer	pointer	st
pointers	pointers	st
poll	poll	st
port	port	st
portnumber	portnumber	st
pos	pos	st
position	position	st
posix	posix	st
prefetch	prefetch	st
prefetchable	prefetchable	st
present	present	st
prev	prev	st
primary	primary	st
print	print	st
printf	printf	st
println	println	st
printreg	printreg	st
priv	priv	st
private	private	st
privilege	privilege	st
proc	proc	st
process	process	st
processes	processes	st
processing	processing	st
program	program	st
programmable	programmable	st
protocol	protocol	st
provided	provided	st
provider	provider	st
ps	ps	st
pt	pt	st
pte	pte	st
ptr	ptr	st
push	push	st
put	put	st
pv	pv	st
queue	queue	st
r	r	st
range	range	st
raw	raw	st
rdev	rdev	st
read	bala	st
ready	ready	st
receive	receive	st
received	received	st
receiver	receiver	st
receviced	receviced	st
record	record	st
rectangle	rectangle	st
recv	recv	st
ref	ref	st
refs	refs	st
reg	reg	st
region	region	st
register	register	st
registeroffset	registeroffset	st
registers	registers	st
regs	regs	st
regtype	regtype	st
rel	rel	st
rela	rela	st
release	release	st
released	released	st
reload	reload	st
relocation	relocation	st
remaining	remaining	st
remote	remote	st
remove	remove	st
reply	reply	st
request	request	st
requested	requested	st
reserved	reserved	st
reset	reset	st
resolve	resolve	st
restore	restore	st
result	result	st
ret	ret	st
revision	revision	st
rgb	rgb	st
right	right	st
root	root	st
round	round	st
route	route	st
rs	rs	st
rt	rt	st
run	run	st
runnable	runnable	st
rx	rx	st
s	s	st
saved	saved	st
sc	sc	st
scan	scan	st
scancode	scancode	st
sche	sche	st
schedule	schedule	st
scheduler	scheduler	st
screen	screen	st
secondary	secondary	st
sect	sect	st
section	section	st
sector	sector	st
sectors	sectors	st
seek	seek	st
seg	seg	st
segment	segment	st
segments	segments	st
select	select	st
selector	selector	st
self	self	st
send	send	st
sequencer	sequencer	st
serial	serial	st
set	set	st
setup	setup	st
sh	sh	st
shared	shared	st
shentsize	shentsize	st
shift	shift	st
shndx	shndx	st
shnum	shnum	st
shoff	shoff	st
shstrndx	shstrndx	st
signature	signature	st
simd	simd	st
size	size	st
sl	sl	st
slave	slave	st
sock	sock	st
socket	socket	st
socketcall	socketcall	st
sockets	sockets	st
soft	soft	st
software	software	st
source	source	st
space	space	st
spawn	spawn	st
src	src	st
srcptr	srcptr	st
ss	ss	st
st	st	st
stack	stack	st
stackbottom	stackbottom	st
stacktop	stacktop	st
start	start	st
started	started	st
starting	starting	st
stat	stat	st
state	state	st
status	status	st
stderr	stderr	st
stdin	stdin	st
stdout	stdout	st
stop	stop	st
stopped	stopped	st
str	str	st
string	string	st
strtab	strtab	st
subclass	subclass	st
subnet	subnet	st
support	support	st
swap	swap	st
switch	switch	st
sym	sym	st
sync	sync	st
sys	sys	st
syscall	syscall	st
sysname	sysname	st
system	system	st
systemcall	systemcall	st
t	t	st
table	table	st
tag	tag	st
tail	tail	st
tamd	tamd	st
tarp	tarp	st
task	task	st
tasking	tasking	st
tasks	tasks	st
tcow	tcow	st
tcpu	tcpu	st
technology	technology	st
temp	temp	st
temporary	temporary	st
tenth	tenth	st
terminated	terminated	st
test	test	st
text	text	st
thr	thr	st
thread	thread	st
threads	threads	st
tick	tick	st
ticmp	ticmp	st
time	time	st
timer	timer	st
tip	tip	st
tls	tls	st
tmp	tmp	st
tmsdos	tmsdos	st
to	to	st
top	top	st
tos	tos	st
total	total	st
track	track	st
trap	trap	st
truncate	truncate	st
tss	tss	st
type	type	st
t공용서술자테이블	t공용서술자테이블	st
t작업관리자	t작업관리자	st
t조각설명자	t조각설명자	st
t콘솔	t콘솔	st
t함수	t함수	st
udesc	udesc	st
udp	udp	st
udp콘솔	udp콘솔	st
uid	uid	st
uint	uint	st
uintptr	uintptr	st
uname	uname	st
unhandle	unhandle	st
unhandled	unhandled	st
unit	unit	st
unset	unset	st
unused	unused	st
up	up	st
update	update	st
usable	usable	st
use	use	st
used	used	st
user	user	st
userhandler	userhandler	st
usermode	usermode	st
userproc	userproc	st
util	util	st
util콘솔	util콘솔	st
uts	uts	st
utsname	utsname	st
v	v	st
vaddr	vaddr	st
val	val	st
value	value	st
values	values	st
vector	vector	st
vendor	vendor	st
ver	ver	st
version	version	st
vfs	vfs	st
vga	vga	st
video	video	st
virt	virt	st
virtlen	virtlen	st
virtmem	virtmem	st
virtual	virtual	st
volume	volume	st
w	w	st
wait	wait	st
waitpid	waitpid	st
wdata	wdata	st
when	when	st
whence	whence	st
widget	widget	st
width	width	st
word	word	st
writable	writable	st
write	ngola	st
writer	writer	st
x	x	st
xy	xy	st
y	y	st
zero	zero	st
값	값	st
공용서술자테이블	공용서술자테이블	st
기준	기준	st
기준주소	기준주소	st
낮은	낮은	st
넷카드콘솔	넷카드콘솔	st
높은	높은	st
단말기	단말기	st
마우스콘솔	마우스콘솔	st
매개값	매개값	st
매우높은	매우높은	st
멈추기	멈추기	st
목적	목적	st
유형	유형	st
이더넷콘솔	이더넷콘솔	st
인터럽트무시하기	인터럽트무시하기	st
인터럽트예외처리기	인터럽트예외처리기	st
인터럽트요청처리	인터럽트요청처리	st
인터럽트처리기	인터럽트처리기	st
임시	임시	st
자료	자료	st
자신	자신	st
작업관리자	작업관리자	st
작업콘솔	작업콘솔	st
조각설명자	조각설명자	st
출력	출력	st
콘솔	콘솔	st
크기	크기	st
키보드콘솔	키보드콘솔	st
표시들	표시들	st
한도	한도	st
