english	localized	source	evidence_count
empty	Празно	gettext	11
emsgsize	emsgsize	fallback-English	0
enable	укључено	gettext	1
enabled	Омогућено	gettext	2
end	Kraj	gettext	1
enetunreach	enetunreach	fallback-English	0
enfile	enfile	fallback-English	0
enodev	enodev	fallback-English	0
enoent	enoent	fallback-English	0
enoexec	enoexec	fallback-English	0
enomem	enomem	fallback-English	0
enospc	enospc	fallback-English	0
enosys	enosys	fallback-English	0
enotconn	enotconn	fallback-English	0
enotdir	enotdir	fallback-English	0
enotty	enotty	fallback-English	0
ensure	ensure	fallback-English	0
entries	entries	fallback-English	0
entry	унос	gettext	6
entrypoint	entrypoint	fallback-English	0
entsize	entsize	fallback-English	0
environment	environment	fallback-English	0
eopnotsupp	eopnotsupp	fallback-English	0
eperm	eperm	fallback-English	0
ephemeral	ephemeral	fallback-English	0
eprotonosupport	eprotonosupport	fallback-English	0
equal	Иста	gettext	1
erange	erange	fallback-English	0
erofs	erofs	fallback-English	0
err	Greška	gettext	1
error	Грешка	gettext	28
errorln	errorln	fallback-English	0
es	es	fallback-English	0
esi	esi	fallback-English	0
esp	esp	fallback-English	0
espipe	espipe	fallback-English	0
esrch	esrch	fallback-English	0
ether	ether	fallback-English	0
etherframe	etherframe	fallback-English	0
ethernet	Žičanaveza	gettext	1
event	Догађај	gettext	1
events	Događaji	gettext	1
exceeded	exceeded	fallback-English	0
except	except	fallback-English	0
exception	exception	fallback-English	0
exec	izvršna	gettext	5
execve	execve	fallback-English	0
exists	exists	fallback-English	0
exit	Izlaz	gettext	2
exited	Изашаосам	gettext	5
ext	ext	fallback-English	0
extended	extended	fallback-English	0
f	М	gettext	1
family	family	fallback-English	0
fat	fat	fallback-English	0
fatal	fatal	fallback-English	0
fatbuf	fatbuf	fallback-English	0
fatbuffer	fatbuffer	fallback-English	0
fault	fault	fallback-English	0
fb	fb	fallback-English	0
fcntl	fcntl	fallback-English	0
fd	Описник	gettext	5
fds	fds	fallback-English	0
field	поље	gettext	5
file	Датотека	gettext	70
filename	Датотека	gettext	6
files	DATOTEKE	gettext	1
filesz	filesz	fallback-English	0
fill	fill	fallback-English	0
find	Pronađi	gettext	13
first	first	fallback-English	0
fl	fl	fallback-English	0
flag	Oznaka	gettext	1
flags	Parametri	gettext	5
floating	Lebdeći	gettext	1
flush	flush	fallback-English	0
fn	fn	fallback-English	0
focus	Жижа	gettext	1
focussable	focussable	fallback-English	0
foo	foo	fallback-English	0
for	for	fallback-English	0
forced	forced	fallback-English	0
fork	fork	fallback-English	0
found	found	fallback-English	0
fp	fp	fallback-English	0
fpu	fpu	fallback-English	0
frame	Okvir	gettext	5
free	Slobodno	gettext	7
frequency	Учестаност	gettext	1
from	sa	gettext	1
front	predǌi	gettext	1
fs	fs	fallback-English	0
fstat	fstat	fallback-English	0
fsync	fsync	fallback-English	0
fuction	fuction	fallback-English	0
full	потпуно	gettext	5
func	func	fallback-English	0
function	функција	gettext	11
functions	Функције	gettext	6
fxrstor	fxrstor	fallback-English	0
fxsave	fxsave	fallback-English	0
g	g	fallback-English	0
gate	gate	fallback-English	0
gateway	gateway	fallback-English	0
gb	ГБ	gettext	5
gdt	gdt	fallback-English	0
get	get	fallback-English	0
getcwd	getcwd	fallback-English	0
getegid	getegid	fallback-English	0
geteuid	geteuid	fallback-English	0
getgid	getgid	fallback-English	0
getpid	getpid	fallback-English	0
getppid	getppid	fallback-English	0
getuid	getuid	fallback-English	0
gid	gid	fallback-English	0
global	Опште	gettext	5
got	got	fallback-English	0
gpf	gpf	fallback-English	0
gran	gran	fallback-English	0
graphics	grafika	gettext	2
grub	grub	fallback-English	0
gs	gs	fallback-English	0
h	В	gettext	1
halt	halt	fallback-English	0
handle	Ручка	gettext	1
handler	handler	fallback-English	0
handlers	handlers	fallback-English	0
hardware	Хардвер	gettext	5
has	Хас	gettext	2
hd	hd	fallback-English	0
head	head	fallback-English	0
header	header	fallback-English	0
headertype	headertype	fallback-English	0
heap	heap	fallback-English	0
height	Visina	gettext	5
helper	helper	fallback-English	0
hex	Heksadecimalno	gettext	1
hex출력	hex출력	fallback-English	0
hi	hi	fallback-English	0
hidden	Скривен	gettext	2
high	Висока	gettext	5
hop	hop	fallback-English	0
i	i	fallback-English	0
icmp	icmp	fallback-English	0
icmp콘솔	icmp콘솔	fallback-English	0
id	IB	gettext	23
ident	ident	fallback-English	0
identify	identify	fallback-English	0
idt	idt	fallback-English	0
idx	idx	fallback-English	0
ifchr	ifchr	fallback-English	0
ifdir	ifdir	fallback-English	0
ifmt	ifmt	fallback-English	0
ifreg	ifreg	fallback-English	0
ifsock	ifsock	fallback-English	0
in	Примљено	gettext	2
increment	increment	fallback-English	0
index	Popis	gettext	1
inet	inet	fallback-English	0
info	Подаци	gettext	2
init	init	fallback-English	0
initial	initial	fallback-English	0
initialization	initialization	fallback-English	0
initialize	initialize	fallback-English	0
ino	ino	fallback-English	0
inode	Ичвор	gettext	5
input	Улаз	gettext	3
install	Instaliraj	gettext	6
int	Целиброј	gettext	5
interconnect	interconnect	fallback-English	0
interface	UREĐAJ	gettext	5
internet	Интернет	gettext	4
internetprotocol	internetprotocol	fallback-English	0
interrupt	Ометање	gettext	1
interrupts	interrupts	fallback-English	0
invalid	Neispravno	gettext	1
io	УИ	gettext	5
iomap	iomap	fallback-English	0
ip	ip	fallback-English	0
ipci	ipci	fallback-English	0
ipmessage	ipmessage	fallback-English	0
ipv	ipv	fallback-English	0
ip콘솔	ip콘솔	fallback-English	0
iret	iret	fallback-English	0
is	is	fallback-English	0
ist	ist	fallback-English	0
j	j	fallback-English	0
jmp	jmp	fallback-English	0
jump	jump	fallback-English	0
k	Kelvin	gettext	1
kb	КБ	gettext	6
kcs	kcs	fallback-English	0
kds	kds	fallback-English	0
kernel	kernel	fallback-English	0
key	Кључ	gettext	1
keyboard	Тастатура	gettext	11
kgs	kgs	fallback-English	0
kind	врста	gettext	5
k핵심	k핵심	fallback-English	0
l	l	fallback-English	0
label	Натпис	gettext	14
last	Задња	gettext	1
lba	lba	fallback-English	0
ldt	ldt	fallback-English	0
left	Лево	gettext	17
len	len	fallback-English	0
length	Dužina	gettext	2
lengths	lengths	fallback-English	0
level	level	fallback-English	0
lib	Либ	gettext	2
lidt	lidt	fallback-English	0
lidtaddr	lidtaddr	fallback-English	0
limit	Ограничи	gettext	1
line	ред	gettext	26
link	Веза	gettext	11
linked	linked	fallback-English	0
linker	linker	fallback-English	0
list	Spisak	gettext	5
listen	listen	fallback-English	0
listening	listening	fallback-English	0
live	live	fallback-English	0
load	Оптерећење	gettext	4
loader	loader	fallback-English	0
local	локална	gettext	5
log	Дневник	gettext	1
logical	logical	fallback-English	0
loop	loop	fallback-English	0
low	Tiho	gettext	5
lseek	lseek	fallback-English	0
lstat	lstat	fallback-English	0
m	metara	gettext	1
mac	mac	fallback-English	0
machine	machine	fallback-English	0
magicnumber	magicnumber	fallback-English	0
main	glavni	curated-seed	1
make	make	fallback-English	0
malloc	malloc	fallback-English	0
manager	manager	fallback-English	0
map	map	fallback-English	0
mask	Maska	gettext	5
master	glavni	gettext	1
matches	matches	fallback-English	0
max	макс	gettext	1
maximum	Najviše	gettext	1
mb	МБ	gettext	5
mbr	mbr	fallback-English	0
media	Медиј	gettext	5
mem	mem	fallback-English	0
memory	Memorija	gettext	10
memorymananger	memorymananger	fallback-English	0
memorytest	memorytest	fallback-English	0
memsz	memsz	fallback-English	0
mesg	mesg	fallback-English	0
message	порука	gettext	17
mics	mics	fallback-English	0
mid	mid	fallback-English	0
minimum	Majtiše	gettext	1
mode	REŽIM	gettext	5
model	Модел	gettext	3
mouse	Миш	gettext	10
mousemove	mousemove	fallback-English	0
move	Премести	gettext	13
msdospart	msdospart	fallback-English	0
msg	msg	fallback-English	0
mtime	mtime	fallback-English	0
multi	multi	fallback-English	0
multiboot	multiboot	fallback-English	0
multitasking	multitasking	fallback-English	0
my	my	fallback-English	0
myfunction	myfunction	fallback-English	0
m긴급로그	m긴급로그	fallback-English	0
m긴급로그문자열	m긴급로그문자열	fallback-English	0
m직렬로그초기화	m직렬로그초기화	fallback-English	0
m출력	m출력	fallback-English	0
m테스트	m테스트	fallback-English	0
n	С	gettext	1
name	Назив	gettext	29
namesz	namesz	fallback-English	0
net	net	fallback-English	0
network	Мрежа	gettext	41
new	Нова	gettext	12
next	Следеће	gettext	10
nibble	nibble	fallback-English	0
nlink	nlink	fallback-English	0
nmi	нми	gettext	1
node	Чвор	gettext	1
nodename	nodename	fallback-English	0
noexec	noexec	fallback-English	0
none	Ништа	gettext	39
normal	обичне	gettext	6
norw	norw	fallback-English	0
not	not	fallback-English	0
note	Белешка	gettext	7
nsec	nsec	fallback-English	0
num	num	fallback-English	0
number	број	gettext	5
o	o	fallback-English	0
of	od	gettext	5
offset	offset	fallback-English	0
ok	Уреду	gettext	17
old	old	fallback-English	0
on	na	gettext	1
only	only	fallback-English	0
opcode	opcode	fallback-English	0
open	Отвори	gettext	50
oper	oper	fallback-English	0
operation	operation	fallback-English	0
options	Опције	gettext	17
order	order	fallback-English	0
org	org	fallback-English	0
other	Друго	gettext	8
out	Poslato	gettext	2
output	Излаз	gettext	8
overflow	overflow	fallback-English	0
p	ВП	gettext	1
packet	packet	fallback-English	0
packets	paketa	gettext	1
paddr	paddr	fallback-English	0
page	list	gettext	1
pages	pages	fallback-English	0
paging	paging	fallback-English	0
param	param	fallback-English	0
parameter	parameter	fallback-English	0
params	Параметри	gettext	5
parent	nadređeni	gettext	5
parse	parse	fallback-English	0
part	part	fallback-English	0
partition	partition	fallback-English	0
partitions	partitions	fallback-English	0
path	ПУТАЊА	gettext	7
pause	Pauza	gettext	10
payload	payload	fallback-English	0
pci	pci	fallback-English	0
pde	pde	fallback-English	0
pdelen	pdelen	fallback-English	0
peer	peer	fallback-English	0
pending	pending	fallback-English	0
per	per	fallback-English	0
peripheral	peripheral	fallback-English	0
phentsize	phentsize	fallback-English	0
phnum	phnum	fallback-English	0
phoff	phoff	fallback-English	0
phy	phy	fallback-English	0
phyaddr	phyaddr	fallback-English	0
phymem	phymem	fallback-English	0
phys	phys	fallback-English	0
physical	physical	fallback-English	0
pic	pic	fallback-English	0
pid	ПИД	gettext	8
pit	pit	fallback-English	0
pixel	pixel	fallback-English	0
point	point	fallback-English	0
pointer	Pokazivač	gettext	1
pointers	pointers	fallback-English	0
poll	poll	fallback-English	0
port	Порт	gettext	5
portnumber	portnumber	fallback-English	0
pos	Положај	gettext	1
position	Положај	gettext	7
posix	posix	fallback-English	0
prefetch	prefetch	fallback-English	0
prefetchable	prefetchable	fallback-English	0
present	Prisutno	gettext	1
prev	prethodni	gettext	1
primary	primary	fallback-English	0
print	Štampaj	gettext	10
printf	printf	fallback-English	0
println	println	fallback-English	0
printreg	printreg	fallback-English	0
priv	priv	fallback-English	0
private	Privatno	gettext	6
privilege	privilege	fallback-English	0
proc	proc	fallback-English	0
process	Процес	gettext	5
processes	Procesi	gettext	5
processing	processing	fallback-English	0
program	програм	gettext	10
programmable	programmable	fallback-English	0
protocol	protocol	fallback-English	0
provided	provided	fallback-English	0
provider	provider	fallback-English	0
ps	ps	fallback-English	0
pt	pt	fallback-English	0
pte	pte	fallback-English	0
ptr	ptr	fallback-English	0
push	push	fallback-English	0
put	put	fallback-English	0
pv	Tv	gettext	1
queue	queue	fallback-English	0
r	č	gettext	5
range	Opseg	gettext	5
raw	raw	fallback-English	0
rdev	rdev	fallback-English	0
read	читање	gettext	10
ready	Спреман	gettext	2
receive	receive	fallback-English	0
received	Primǉeno	gettext	1
receiver	receiver	fallback-English	0
receviced	receviced	fallback-English	0
record	Снимање	gettext	1
rectangle	Pravougaonik	gettext	1
recv	recv	fallback-English	0
ref	ref	fallback-English	0
refs	refs	fallback-English	0
reg	reg	fallback-English	0
region	region	fallback-English	0
register	register	fallback-English	0
registeroffset	registeroffset	fallback-English	0
registers	registers	fallback-English	0
regs	regs	fallback-English	0
regtype	regtype	fallback-English	0
rel	rel	fallback-English	0
rela	rela	fallback-English	0
release	release	fallback-English	0
released	released	fallback-English	0
reload	Освежи	gettext	18
relocation	relocation	fallback-English	0
remaining	remaining	fallback-English	0
remote	Удаљено	gettext	15
remove	Уклони	gettext	26
reply	reply	fallback-English	0
request	request	fallback-English	0
requested	requested	fallback-English	0
reserved	Zauzeto	gettext	5
reset	Ponovopostavi	gettext	15
resolve	resolve	fallback-English	0
restore	Поврати	gettext	10
result	ИСХОД	gettext	5
ret	ret	fallback-English	0
revision	revision	fallback-English	0
rgb	ЦЗП	gettext	5
right	Десно	gettext	22
root	Koren	gettext	10
round	Zaokruži	gettext	1
route	route	fallback-English	0
rs	rs	fallback-English	0
rt	rt	fallback-English	0
run	Pokreni	gettext	19
runnable	runnable	fallback-English	0
rx	rx	fallback-English	0
s	Ј	gettext	1
saved	saved	fallback-English	0
sc	sc	fallback-English	0
scan	Прегледај	gettext	2
scancode	scancode	fallback-English	0
sche	sche	fallback-English	0
schedule	schedule	fallback-English	0
scheduler	scheduler	fallback-English	0
screen	screen	fallback-English	0
secondary	secondary	fallback-English	0
sect	sect	fallback-English	0
section	section	fallback-English	0
sector	sector	fallback-English	0
sectors	sectors	fallback-English	0
seek	seek	fallback-English	0
seg	seg	fallback-English	0
segment	segment	fallback-English	0
segments	segments	fallback-English	0
select	Изабери	gettext	6
selector	selector	fallback-English	0
self	isti	gettext	5
send	Пошаљи	gettext	1
sequencer	sequencer	fallback-English	0
serial	Серијски	gettext	1
set	скуп	gettext	5
setup	setup	fallback-English	0
sh	sh	fallback-English	0
shared	shared	fallback-English	0
shentsize	shentsize	fallback-English	0
shift	Шифт	gettext	3
shndx	shndx	fallback-English	0
shnum	shnum	fallback-English	0
shoff	shoff	fallback-English	0
shstrndx	shstrndx	fallback-English	0
signature	signature	fallback-English	0
simd	simd	fallback-English	0
size	Величина	gettext	32
sl	sl	fallback-English	0
slave	slave	fallback-English	0
sock	sock	fallback-English	0
socket	Прикључница	gettext	1
socketcall	socketcall	fallback-English	0
sockets	sockets	fallback-English	0
soft	soft	fallback-English	0
software	Programi	gettext	5
source	Izvor	gettext	15
space	razmak	gettext	5
spawn	spawn	fallback-English	0
src	src	fallback-English	0
srcptr	srcptr	fallback-English	0
ss	ss	fallback-English	0
st	st	fallback-English	0
stack	stack	fallback-English	0
stackbottom	stackbottom	fallback-English	0
stacktop	stacktop	fallback-English	0
start	Pokreni	gettext	10
started	Započet	gettext	5
starting	starting	fallback-English	0
stat	stat	fallback-English	0
state	Стање	gettext	4
status	Стање	gettext	16
stderr	stderr	fallback-English	0
stdin	stdin	fallback-English	0
stdout	stdout	fallback-English	0
stop	Заустави	gettext	29
stopped	Заустављен	gettext	5
str	str	fallback-English	0
string	ниска	gettext	6
strtab	strtab	fallback-English	0
subclass	subclass	fallback-English	0
subnet	subnet	fallback-English	0
support	Podrška	gettext	1
swap	Svap	gettext	5
switch	switch	fallback-English	0
sym	sym	fallback-English	0
sync	sync	fallback-English	0
sys	sys	fallback-English	0
syscall	syscall	fallback-English	0
sysname	sysname	fallback-English	0
system	Систем	gettext	21
systemcall	systemcall	fallback-English	0
t	Т	gettext	1
table	Tabela	gettext	5
tag	ознака	gettext	5
tail	tail	fallback-English	0
tamd	tamd	fallback-English	0
tarp	tarp	fallback-English	0
task	Задатак	gettext	1
tasking	tasking	fallback-English	0
tasks	zadaci	gettext	1
tcow	tcow	fallback-English	0
tcpu	tcpu	fallback-English	0
technology	Технологија	gettext	2
temp	temp	fallback-English	0
temporary	temporary	fallback-English	0
tenth	tenth	fallback-English	0
terminated	terminated	fallback-English	0
test	Тест	gettext	1
text	Текст	gettext	15
thr	thr	fallback-English	0
thread	thread	fallback-English	0
threads	threads	fallback-English	0
tick	tick	fallback-English	0
ticmp	ticmp	fallback-English	0
time	Време	gettext	3
timer	Одбројавач	gettext	2
tip	tip	fallback-English	0
tls	tls	fallback-English	0
tmp	tmp	fallback-English	0
tmsdos	tmsdos	fallback-English	0
to	to	fallback-English	0
top	Горе	gettext	9
tos	tos	fallback-English	0
total	Ukupno	gettext	5
track	track	fallback-English	0
trap	trap	fallback-English	0
truncate	Odsecite	gettext	1
tss	tss	fallback-English	0
type	Врста	gettext	34
t공용서술자테이블	t공용서술자테이블	fallback-English	0
t작업관리자	t작업관리자	fallback-English	0
t조각설명자	t조각설명자	fallback-English	0
t콘솔	t콘솔	fallback-English	0
t함수	t함수	fallback-English	0
udesc	udesc	fallback-English	0
udp	udp	fallback-English	0
udp콘솔	udp콘솔	fallback-English	0
uid	ЈЛБ	gettext	1
uint	uint	fallback-English	0
uintptr	uintptr	fallback-English	0
uname	uname	fallback-English	0
unhandle	unhandle	fallback-English	0
unhandled	unhandled	fallback-English	0
unit	Јединица	gettext	5
unset	Неподешено	gettext	1
unused	неупотребљен	gettext	1
up	Gore	gettext	12
update	Освежи	gettext	10
usable	usable	fallback-English	0
use	Користи	gettext	1
used	Zauzeto	gettext	5
user	Korisnik	gettext	19
userhandler	userhandler	fallback-English	0
usermode	usermode	fallback-English	0
userproc	userproc	fallback-English	0
util	util	fallback-English	0
util콘솔	util콘솔	fallback-English	0
uts	uts	fallback-English	0
utsname	utsname	fallback-English	0
v	v	fallback-English	0
vaddr	vaddr	fallback-English	0
val	val	fallback-English	0
value	Вредност	gettext	13
values	Вредности	gettext	1
vector	vector	fallback-English	0
vendor	Proizvođač	gettext	1
ver	ver	fallback-English	0
version	Издање	gettext	1
vfs	vfs	fallback-English	0
vga	vga	fallback-English	0
video	Видео	gettext	6
virt	virt	fallback-English	0
virtlen	virtlen	fallback-English	0
virtmem	virtmem	fallback-English	0
virtual	Virtuelno	gettext	1
volume	Glasnoća	gettext	1
w	p	gettext	5
wait	Sačekaj	gettext	2
waitpid	waitpid	fallback-English	0
wdata	wdata	fallback-English	0
when	when	fallback-English	0
whence	whence	fallback-English	0
widget	Kontrola	gettext	1
width	Širina	gettext	6
word	reč	gettext	6
writable	writable	fallback-English	0
write	upis	gettext	10
writer	writer	fallback-English	0
x	i	gettext	5
xy	xy	fallback-English	0
y	d	gettext	1
zero	zero	fallback-English	0
값	값	fallback-English	0
공용서술자테이블	공용서술자테이블	fallback-English	0
기준	기준	fallback-English	0
기준주소	기준주소	fallback-English	0
낮은	낮은	fallback-English	0
넷카드콘솔	넷카드콘솔	fallback-English	0
높은	높은	fallback-English	0
단말기	단말기	fallback-English	0
마우스콘솔	마우스콘솔	fallback-English	0
매개값	매개값	fallback-English	0
매우높은	매우높은	fallback-English	0
멈추기	멈추기	fallback-English	0
목적	목적	fallback-English	0
유형	유형	fallback-English	0
이더넷콘솔	이더넷콘솔	fallback-English	0
인터럽트무시하기	인터럽트무시하기	fallback-English	0
인터럽트예외처리기	인터럽트예외처리기	fallback-English	0
인터럽트요청처리	인터럽트요청처리	fallback-English	0
인터럽트처리기	인터럽트처리기	fallback-English	0
임시	임시	fallback-English	0
자료	자료	fallback-English	0
자신	자신	fallback-English	0
작업관리자	작업관리자	fallback-English	0
작업콘솔	작업콘솔	fallback-English	0
조각설명자	조각설명자	fallback-English	0
출력	출력	fallback-English	0
콘솔	콘솔	fallback-English	0
크기	크기	fallback-English	0
키보드콘솔	키보드콘솔	fallback-English	0
표시들	표시들	fallback-English	0
한도	한도	fallback-English	0
