go run tools/verify_country_sources.go
country source structure OK: 249/249
python3 tools/refine_country_names.py --check
IRL/en: names=35, tokens=358, paths=50, pending concepts=0
IRN/fa: names=5, tokens=24, paths=40, pending concepts=50
IRQ/ar: names=35, tokens=358, paths=50, pending concepts=0
ISL/is: names=5, tokens=24, paths=40, pending concepts=50
ISR/he: names=5, tokens=24, paths=40, pending concepts=50
ITA/it: names=35, tokens=358, paths=50, pending concepts=0
JAM/en: names=35, tokens=358, paths=50, pending concepts=0
JEY/en: names=35, tokens=358, paths=50, pending concepts=0
JOR/ar: names=35, tokens=358, paths=50, pending concepts=0
JPN/ja: names=32, tokens=337, paths=49, pending concepts=0
KAZ/ru: names=35, tokens=358, paths=50, pending concepts=0
KEN/sw: names=5, tokens=24, paths=40, pending concepts=50
KGZ/ky_Cyrl: names=5, tokens=24, paths=40, pending concepts=50
KHM/km: names=5, tokens=24, paths=40, pending concepts=50
KIR/en: names=35, tokens=358, paths=50, pending concepts=0
KNA/en: names=35, tokens=358, paths=50, pending concepts=0
KOR/ko: names=1049, tokens=5635, paths=67, pending concepts=0
KWT/ar: names=35, tokens=358, paths=50, pending concepts=0
LAO/lo: names=5, tokens=24, paths=40, pending concepts=50
LBN/ar: names=35, tokens=358, paths=50, pending concepts=0
LBR/en: names=35, tokens=358, paths=50, pending concepts=0
LBY/ar: names=35, tokens=358, paths=50, pending concepts=0
LCA/en: names=35, tokens=358, paths=50, pending concepts=0
LIE/de: names=35, tokens=358, paths=50, pending concepts=0
LKA/si: names=5, tokens=24, paths=40, pending concepts=50
LSO/st: names=5, tokens=24, paths=40, pending concepts=50
LTU/lt: names=5, tokens=24, paths=40, pending concepts=50
LUX/fr: names=35, tokens=358, paths=50, pending concepts=0
LVA/lv: names=5, tokens=24, paths=40, pending concepts=50
MAC/zh_Hant: names=34, tokens=331, paths=50, pending concepts=0
MAF/fr: names=35, tokens=358, paths=50, pending concepts=0
MAR/ar: names=35, tokens=358, paths=50, pending concepts=0
MCO/fr: names=35, tokens=358, paths=50, pending concepts=0
MDA/ro: names=5, tokens=24, paths=40, pending concepts=50
MDG/mg: names=5, tokens=24, paths=40, pending concepts=50
MDV/dv: names=5, tokens=24, paths=40, pending concepts=50
MEX/es: names=35, tokens=358, paths=50, pending concepts=0
MHL/en: names=35, tokens=358, paths=50, pending concepts=0
MKD/mk: names=5, tokens=24, paths=40, pending concepts=50
MLI/fr: names=35, tokens=358, paths=50, pending concepts=0
MLT/mt: names=5, tokens=24, paths=40, pending concepts=50
MMR/my: names=5, tokens=24, paths=40, pending concepts=50
MNE/sr_Latn: names=5, tokens=24, paths=40, pending concepts=50
MNG/mn_Cyrl: names=5, tokens=24, paths=40, pending concepts=50
MNP/en: names=35, tokens=358, paths=50, pending concepts=0
MOZ/pt: names=35, tokens=358, paths=50, pending concepts=0
MRT/ar: names=35, tokens=358, paths=50, pending concepts=0
MSR/en: names=35, tokens=358, paths=50, pending concepts=0
MTQ/fr: names=35, tokens=358, paths=50, pending concepts=0
MUS/en: names=35, tokens=358, paths=50, pending concepts=0
MWI/en: names=35, tokens=358, paths=50, pending concepts=0
MYS/ms_Latn: names=35, tokens=358, paths=50, pending concepts=0
MYT/fr: names=35, tokens=358, paths=50, pending concepts=0
NAM/en: names=35, tokens=358, paths=50, pending concepts=0
NCL/fr: names=35, tokens=358, paths=50, pending concepts=0
NER/fr: names=35, tokens=358, paths=50, pending concepts=0
NFK/en: names=35, tokens=358, paths=50, pending concepts=0
NGA/en: names=35, tokens=358, paths=50, pending concepts=0
NIC/es: names=35, tokens=358, paths=50, pending concepts=0
NIU/en: names=35, tokens=358, paths=50, pending concepts=0
NLD/nl: names=35, tokens=358, paths=50, pending concepts=0
NOR/nb: names=5, tokens=24, paths=40, pending concepts=50
NPL/ne: names=5, tokens=24, paths=40, pending concepts=50
NRU/en: names=35, tokens=358, paths=50, pending concepts=0
NZL/en: names=35, tokens=358, paths=50, pending concepts=0
OMN/ar: names=35, tokens=358, paths=50, pending concepts=0
PAK/ur: names=5, tokens=24, paths=40, pending concepts=50
PAN/es: names=35, tokens=358, paths=50, pending concepts=0
PCN/en: names=35, tokens=358, paths=50, pending concepts=0
PER/es: names=35, tokens=358, paths=50, pending concepts=0
PHL/en: names=35, tokens=358, paths=50, pending concepts=0
PLW/pau: names=5, tokens=24, paths=40, pending concepts=50
PNG/tpi: names=5, tokens=24, paths=40, pending concepts=50
POL/pl: names=35, tokens=358, paths=50, pending concepts=0
PRI/es: names=35, tokens=358, paths=50, pending concepts=0
PRK/ko: names=1049, tokens=5635, paths=67, pending concepts=0
PRT/pt: names=35, tokens=358, paths=50, pending concepts=0
PRY/gn: names=5, tokens=24, paths=40, pending concepts=50
PSE/ar: names=35, tokens=358, paths=50, pending concepts=0
PYF/fr: names=35, tokens=358, paths=50, pending concepts=0
QAT/ar: names=35, tokens=358, paths=50, pending concepts=0
REU/fr: names=35, tokens=358, paths=50, pending concepts=0
ROU/ro: names=5, tokens=24, paths=40, pending concepts=50
RUS/ru: names=35, tokens=358, paths=50, pending concepts=0
RWA/rw: names=5, tokens=24, paths=40, pending concepts=50
SAU/ar: names=35, tokens=358, paths=50, pending concepts=0
SDN/ar: names=35, tokens=358, paths=50, pending concepts=0
SEN/wo: names=5, tokens=24, paths=40, pending concepts=50
